trajID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0,2.1,0.91015,2.15783,0.513781,0.479588,-0.662602,-0.351575,-0.609,-3.9655,1.862
0,2.11,0.914916,2.15101,0.510359,0.473466,-0.702134,-0.332895,-0.615186,-3.94049,1.87396
0,2.12,0.91962,2.14379,0.507123,0.467284,-0.741405,-0.314098,-0.621176,-3.91332,1.88541
0,2.13,0.924261,2.13618,0.504077,0.461044,-0.780393,-0.295188,-0.626965,-3.88398,1.89634
0,2.14,0.92884,2.12818,0.50122,0.454746,-0.819077,-0.276172,-0.632552,-3.85243,1.90675
0,2.15,0.933356,2.1198,0.498554,0.448393,-0.857435,-0.257055,-0.637933,-3.81865,1.91662
0,2.16,0.937808,2.11103,0.496079,0.441988,-0.895443,-0.237842,-0.643104,-3.78261,1.92595
0,2.17,0.942196,2.10189,0.493797,0.435532,-0.933079,-0.218538,-0.648062,-3.7443,1.93474
0,2.18,0.946518,2.09237,0.491709,0.429027,-0.970321,-0.199149,-0.652805,-3.70368,1.94297
0,2.19,0.950776,2.08249,0.489815,0.422476,-1.00715,-0.179681,-0.657328,-3.66074,1.95063
0,2.2,0.954968,2.07223,0.488115,0.415881,-1.04353,-0.160138,-0.66163,-3.61544,1.95773
0,2.21,0.959094,2.06162,0.486612,0.409245,-1.07945,-0.140528,-0.665705,-3.56777,1.96425
0,2.22,0.963153,2.05064,0.485305,0.402568,-1.11488,-0.120855,-0.669552,-3.51769,1.97018
0,2.23,0.967145,2.03932,0.484195,0.395854,-1.14979,-0.101126,-0.673167,-3.46519,1.97551
0,2.24,0.97107,2.02765,0.483283,0.389106,-1.18417,-0.0813471,-0.676546,-3.41024,1.98025
0,2.25,0.974927,2.01564,0.482568,0.382324,-1.21799,-0.0615234,-0.679687,-3.35281,1.98438
0,2.26,0.978716,2.00329,0.482052,0.375513,-1.25122,-0.0416616,-0.682587,-3.29288,1.98788
0,2.27,0.982437,1.99062,0.481735,0.368673,-1.28384,-0.0217678,-0.685242,-3.23043,1.99077
0,2.28,0.986089,1.97762,0.481617,0.361809,-1.31582,-0.00184832,-0.687648,-3.16543,1.99302
0,2.29,0.989673,1.9643,0.481698,0.354921,-1.34714,0.0180905,-0.689803,-3.09785,1.99464
